name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bratislava,2022-10-01T00:00:00,10.7,10.7,11.1,100,0,0,,0,0,13,7,1,1014.8,100,6.7,0,0,0,,Overcast,cloudy,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T01:00:00,10.7,10.7,11.1,100,0,0,,0,0,13,4,3,1014.8,90,7.6,0,0,0,,Partially cloudy,partly-cloudy-night,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T02:00:00,11.2,11.2,11.2,99.64,0.008,100,rain,0,0,14.4,4,2,1014.8,100,7.6,0,0,0,,"Rain, Overcast",rain,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T03:00:00,11.6,11.6,11.6,99.7,0,0,,0,0,16.6,4,3,1014.7,100,6.7,0,0,0,,Overcast,cloudy,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T04:00:00,11.2,11.2,11.6,100,0,0,,0,0,16.6,7.2,1,1014.6,90,4.8,0,0,0,,Partially cloudy,partly-cloudy-night,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T05:00:00,11.2,11.2,11.2,99.74,0,0,,0,0,14,7.3,2,1014.7,100,5.4,0,0,0,,Overcast,cloudy,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T06:00:00,11.2,11.2,11.6,100,0,0,,0,0,11.5,3.8,1,1014.6,100,5.4,0,0,0,,Overcast,cloudy,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T07:00:00,11.6,11.6,11.4,98.53,0,0,,0,0,9.4,3.6,359,1014.6,100,42.3,0,0,0,,Overcast,cloudy,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T08:00:00,11.7,11.7,11.9,100,7.099,100,rain,0,0,6.5,3.6,359,1014.7,100,6,,,,,"Rain, Overcast",rain,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T09:00:00,12.2,12.2,12.1,99.73,0.001,100,rain,0,0,6.1,6.9,272,1014.5,100,8.5,,,,,"Rain, Overcast",rain,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T10:00:00,12.6,12.6,12.5,99.42,0,0,,0,0,9.7,7,359,1014.3,100,8.7,,,,,Overcast,cloudy,"12815099999,11813099999,11085099999,11816099999,11801099999"
bratislava,2022-10-01T11:00:00,14.1,14.1,12.3,89.11,0,0,,0,0,11.9,3.6,360,1014.1,90.8,11.5,201,0.7,2,,Overcast,cloudy,"12815099999,11813099999,11816099999,AU094,11801099999"
bratislava,2022-10-01T12:00:00,13.6,13.6,12.1,90.51,0,0,,0,0,12.6,3.8,355,1014,100,14.5,77,0.3,1,,Overcast,cloudy,"12815099999,11813099999,D2516,11085099999,11816099999,11801099999"
