"name","datetime","temp","feelslike","dew","humidity","precip","precipprob","preciptype","snow","snowdepth","windgust","windspeed","winddir","sealevelpressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","conditions","icon","stations","event_count","critical_event_count"
"bratislava","2022-10-01 00:00:00","10.7","10.7","11.1","100.0","0.0","0","","0","0","13.0","7.0","1.0","1014.8","100.0","6.7","0.0","0.0","0.0","","Overcast","cloudy","12815099999,11813099999,11085099999,11816099999,11801099999","0","0"
"bratislava","2022-10-01 01:00:00","10.7","10.7","11.1","100.0","0.0","0","","0","0","13.0","4.0","3.0","1014.8","90.0","7.6","0.0","0.0","0.0","","Partially cloudy","partly-cloudy-night","12815099999,11813099999,11085099999,11816099999,11801099999","0","0"
"bratislava","2022-10-01 02:00:00","11.2","11.2","11.2","99.64","0.008","100","rain","0","0","14.4","4.0","2.0","1014.8","100.0","7.6","0.0","0.0","0.0","","Rain, Overcast","rain","12815099999,11813099999,11085099999,11816099999,11801099999","0","0"
"bratislava","2022-10-01 03:00:00","11.6","11.6","11.6","99.7","0.0","0","","0","0","16.6","4.0","3.0","1014.7","100.0","6.7","0.0","0.0","0.0","","Overcast","cloudy","12815099999,11813099999,11085099999,11816099999,11801099999","0","0"
"bratislava","2022-10-01 04:00:00","11.2","11.2","11.6","100.0","0.0","0","","0","0","16.6","7.2","1.0","1014.6","90.0","4.8","0.0","0.0","0.0","","Partially cloudy","partly-cloudy-night","12815099999,11813099999,11085099999,11816099999,11801099999","5","0"
"bratislava","2022-10-01 05:00:00","11.2","11.2","11.2","99.74","0.0","0","","0","0","14.0","7.3","2.0","1014.7","100.0","5.4","0.0","0.0","0.0","","Overcast","cloudy","12815099999,11813099999,11085099999,11816099999,11801099999","18","0"
"bratislava","2022-10-01 06:00:00","11.2","11.2","11.6","100.0","0.0","0","","0","0","11.5","3.8","1.0","1014.6","100.0","5.4","0.0","0.0","0.0","","Overcast","cloudy","12815099999,11813099999,11085099999,11816099999,11801099999","17","0"
"bratislava","2022-10-01 07:00:00","11.6","11.6","11.4","98.53","0.0","0","","0","0","9.4","3.6","359.0","1014.6","100.0","42.3","0.0","0.0","0.0","","Overcast","cloudy","12815099999,11813099999,11085099999,11816099999,11801099999","14","0"
"bratislava","2022-10-01 08:00:00","11.7","11.7","11.9","100.0","7.099","100","rain","0","0","6.5","3.6","359.0","1014.7","100.0","6.0","","","","","Rain, Overcast","rain","12815099999,11813099999,11085099999,11816099999,11801099999","52","0"
"bratislava","2022-10-01 09:00:00","12.2","12.2","12.1","99.73","0.001","100","rain","0","0","6.1","6.9","272.0","1014.5","100.0","8.5","","","","","Rain, Overcast","rain","12815099999,11813099999,11085099999,11816099999,11801099999","61","0"
"bratislava","2022-10-01 10:00:00","12.6","12.6","12.5","99.42","0.0","0","","0","0","9.7","7.0","359.0","1014.3","100.0","8.7","","","","","Overcast","cloudy","12815099999,11813099999,11085099999,11816099999,11801099999","87","0"
"bratislava","2022-10-01 11:00:00","14.1","14.1","12.3","89.11","0.0","0","","0","0","11.9","3.6","360.0","1014.1","90.8","11.5","201.0","0.7","2.0","","Overcast","cloudy","12815099999,11813099999,11816099999,AU094,11801099999","94","0"
"bratislava","2022-10-01 12:00:00","13.6","13.6","12.1","90.51","0.0","0","","0","0","12.6","3.8","355.0","1014.0","100.0","14.5","77.0","0.3","1.0","","Overcast","cloudy","12815099999,11813099999,D2516,11085099999,11816099999,11801099999","101","1"
"bratislava","2022-10-01 13:00:00","13.8","13.8","11.8","88.23","0.0","0","","0","0","17.6","3.6","353.0","1013.4","100.0","23.8","88.0","0.3","1.0","","Overcast","cloudy","12815099999,11813099999,D2516,11085099999,11816099999,11801099999","91","0"
