date,start_time,end_time,duration,vehicle,weather,lat,lon
24.10.2022,2022-10-24 16:52:50.300,2022-10-24 16:52:53.600,3.3,7414,"{'conditions': 'Overcast', 'temp': 14.9, 'precip': 0.0, 'dew': 14.8, 'humidity': 99.03, 'windspeed': 7.2, 'visibility': 9.9}",48.14707,17.109592
15.10.2022,2022-10-15 20:14:39.500,2022-10-15 20:14:48.100,8.6,7412,"{'conditions': 'Rain, Overcast', 'temp': 11.9, 'precip': 3.555, 'dew': 11.9, 'humidity': 99.61, 'windspeed': 3.9, 'visibility': 9.1}",48.155642,17.133415
20.10.2022,2022-10-20 06:52:41.400,2022-10-20 06:52:45.700,4.3,7528,"{'conditions': 'Clear', 'temp': 6.4, 'precip': 0.0, 'dew': 2.3, 'humidity': 75.25, 'windspeed': 3.8, 'visibility': 39.5}",48.141172,17.116513
20.10.2022,2022-10-20 08:34:57.700,2022-10-20 08:35:02.500,4.8,7514,"{'conditions': 'Clear', 'temp': 8.5, 'precip': 0.0, 'dew': 3.2, 'humidity': 69.62, 'windspeed': 6.7, 'visibility': 53.9}",48.215975,17.165807
28.10.2022,2022-10-28 21:20:26.200,2022-10-28 21:20:31.000,4.8,7414,"{'conditions': 'Overcast', 'temp': 11.2, 'precip': 0.0, 'dew': 11.2, 'humidity': 99.84, 'windspeed': 3.8, 'visibility': 3.4}",48.159298,17.051213
22.10.2022,2022-10-22 03:57:34.900,2022-10-22 03:57:38.000,3.1,7404,"{'conditions': 'Partially cloudy', 'temp': 8.7, 'precip': 0.0, 'dew': 3.6, 'humidity': 70.2, 'windspeed': 7.3, 'visibility': 33.1}",48.160183,17.13
07.10.2022,2022-10-07 21:08:05.000,2022-10-07 21:08:13.900,8.9,7430,"{'conditions': 'Partially cloudy', 'temp': 15.2, 'precip': 0.0, 'dew': 11.2, 'humidity': 76.64, 'windspeed': 7.2, 'visibility': 20.0}",48.176343,17.145727
19.10.2022,2022-10-19 10:08:25.100,2022-10-19 10:08:29.100,4.0,7413,"{'conditions': 'Partially cloudy', 'temp': 14.4, 'precip': 0.0, 'dew': 11.0, 'humidity': 80.33, 'windspeed': 7.0, 'visibility': 35.2}",48.157292,17.159457
21.10.2022,2022-10-21 12:03:10.500,2022-10-21 12:03:15.000,4.5,7506,"{'conditions': 'Partially cloudy', 'temp': 9.2, 'precip': 0.0, 'dew': 2.4, 'humidity': 62.56, 'windspeed': 15.1, 'visibility': 54.2}",48.145492,17.110237
17.10.2022,2022-10-17 18:46:15.400,2022-10-17 18:46:18.400,3.0,7406,"{'conditions': 'Partially cloudy', 'temp': 17.0, 'precip': 0.0, 'dew': 9.1, 'humidity': 59.64, 'windspeed': 7.5, 'visibility': 38.4}",48.157398,17.160955
18.10.2022,2022-10-18 19:21:12.500,2022-10-18 19:21:18.100,5.6,7512,"{'conditions': 'Partially cloudy', 'temp': 15.8, 'precip': 0.0, 'dew': 9.7, 'humidity': 66.79, 'windspeed': 3.8, 'visibility': 28.8}",48.211438,17.155045
10.10.2022,2022-10-10 15:09:15.200,2022-10-10 15:09:19.000,3.8,7422,"{'conditions': 'Partially cloudy', 'temp': 16.6, 'precip': 0.0, 'dew': 6.9, 'humidity': 52.64, 'windspeed': 8.1, 'visibility': 54.5}",48.187657,17.03677
27.10.2022,2022-10-27 22:57:34.900,2022-10-27 22:57:38.300,3.4,7518,"{'conditions': 'Partially cloudy', 'temp': 9.9, 'precip': 0.0, 'dew': 9.9, 'humidity': 99.99, 'windspeed': 7.4, 'visibility': 0.0}",48.180523,17.129008
06.10.2022,2022-10-06 08:26:38.900,2022-10-06 08:26:49.700,10.8,7505,"{'conditions': 'Rain, Partially cloudy', 'temp': 9.8, 'precip': 0.093, 'dew': 8.2, 'humidity': 89.61, 'windspeed': 7.1, 'visibility': 25.2}",48.17141,17.12698
18.10.2022,2022-10-18 11:54:16.500,2022-10-18 11:54:21.500,5.0,7520,"{'conditions': 'Clear', 'temp': 16.7, 'precip': 0.0, 'dew': 7.4, 'humidity': 54.03, 'windspeed': 10.6, 'visibility': 24.9}",48.186232,17.133938
13.10.2022,2022-10-13 16:49:14.800,2022-10-13 16:49:20.100,5.3,7520,"{'conditions': 'Partially cloudy', 'temp': 16.4, 'precip': 0.0, 'dew': 11.2, 'humidity': 71.15, 'windspeed': 3.6, 'visibility': 18.8}",48.172208,17.127058
09.10.2022,2022-10-09 15:01:48.700,2022-10-09 15:01:52.300,3.6,7525,"{'conditions': 'Partially cloudy', 'temp': 17.1, 'precip': 0.0, 'dew': 5.8, 'humidity': 47.36, 'windspeed': 7.0, 'visibility': 56.9}",48.194098,17.14224
01.10.2022,2022-10-01 12:40:35.500,2022-10-01 12:40:40.700,5.2,7525,"{'conditions': 'Overcast', 'temp': 13.8, 'precip': 0.0, 'dew': 11.8, 'humidity': 88.23, 'windspeed': 3.6, 'visibility': 23.8}",48.158438,17.128302
26.10.2022,2022-10-26 10:36:59.600,2022-10-26 10:37:01.800,2.2,7516,"{'conditions': 'Overcast', 'temp': 11.2, 'precip': 0.0, 'dew': 11.1, 'humidity': 99.94, 'windspeed': 7.4, 'visibility': 0.1}",48.194033,17.142135
17.10.2022,2022-10-17 08:40:12.800,2022-10-17 08:40:16.300,3.5,7404,"{'conditions': 'Clear', 'temp': 11.5, 'precip': 0.0, 'dew': 8.9, 'humidity': 84.13, 'windspeed': 7.5, 'visibility': 20.3}",48.139818,17.106722
15.10.2022,2022-10-15 07:01:23.100,2022-10-15 07:01:28.400,5.3,7530,"{'conditions': 'Partially cloudy', 'temp': 9.8, 'precip': 0.0, 'dew': 9.8, 'humidity': 99.82, 'windspeed': 7.6, 'visibility': 2.4}",48.215092,17.163978
14.10.2022,2022-10-14 12:41:38.900,2022-10-14 12:41:45.500,6.6,7426,"{'conditions': 'Overcast', 'temp': 16.8, 'precip': 0.0, 'dew': 10.9, 'humidity': 68.19, 'windspeed': 7.2, 'visibility': 8.6}",48.145492,17.077607
19.10.2022,2022-10-19 08:52:30.100,2022-10-19 08:52:32.700,2.6,7508,"{'conditions': 'Partially cloudy', 'temp': 12.2, 'precip': 0.0, 'dew': 10.9, 'humidity': 91.29, 'windspeed': 4.5, 'visibility': 30.2}",48.193795,17.141855
19.10.2022,2022-10-19 19:13:11.300,2022-10-19 19:13:16.100,4.8,7501,"{'conditions': 'Clear', 'temp': 10.9, 'precip': 0.0, 'dew': 4.1, 'humidity': 62.64, 'windspeed': 7.9, 'visibility': 38.4}",48.211298,17.157112
30.10.2022,2022-10-30 20:49:28.300,2022-10-30 20:49:46.400,18.1,7519,"{'conditions': 'Overcast', 'temp': 10.2, 'precip': 0.0, 'dew': 10.2, 'humidity': 99.9, 'windspeed': 3.8, 'visibility': 1.0}",48.16951,17.127252
03.10.2022,2022-10-03 16:16:14.800,2022-10-03 16:16:18.000,3.2,7407,"{'conditions': 'Partially cloudy', 'temp': 14.2, 'precip': 0.0, 'dew': 5.7, 'humidity': 56.53, 'windspeed': 15.2, 'visibility': 47.7}",48.152457,17.120728
11.10.2022,2022-10-11 19:43:03.300,2022-10-11 19:43:11.500,8.2,7409,"{'conditions': 'Partially cloudy', 'temp': 14.6, 'precip': 0.0, 'dew': 9.4, 'humidity': 70.92, 'windspeed': 10.5, 'visibility': 28.8}",48.154212,17.111065
08.10.2022,2022-10-08 13:10:22.200,2022-10-08 13:10:25.600,3.4,7425,"{'conditions': 'Partially cloudy', 'temp': 18.6, 'precip': 0.0, 'dew': 12.8, 'humidity': 69.28, 'windspeed': 3.6, 'visibility': 19.0}",48.163867,17.047417
28.10.2022,2022-10-28 11:16:32.200,2022-10-28 11:16:42.000,9.8,7516,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.9, 'humidity': 99.97, 'windspeed': 10.7, 'visibility': 0.1}",48.176515,17.127883
29.10.2022,2022-10-29 15:14:32.700,2022-10-29 15:14:48.000,15.3,7401,"{'conditions': 'Overcast', 'temp': 11.9, 'precip': 0.0, 'dew': 11.8, 'humidity': 99.49, 'windspeed': 3.8, 'visibility': 7.1}",48.178472,17.150268
27.10.2022,2022-10-27 10:56:40.600,2022-10-27 10:56:48.700,8.1,7517,"{'conditions': 'Partially cloudy', 'temp': 11.1, 'precip': 0.0, 'dew': 11.1, 'humidity': 99.91, 'windspeed': 3.8, 'visibility': 0.1}",48.169332,17.127258
27.10.2022,2022-10-27 14:39:10.900,2022-10-27 14:39:14.200,3.3,7517,"{'conditions': 'Overcast', 'temp': 12.4, 'precip': 0.0, 'dew': 12.3, 'humidity': 99.59, 'windspeed': 3.6, 'visibility': 0.2}",48.170912,17.127017
07.10.2022,2022-10-07 21:08:05.000,2022-10-07 21:08:13.900,8.9,7430,"{'conditions': 'Partially cloudy', 'temp': 15.2, 'precip': 0.0, 'dew': 11.2, 'humidity': 76.64, 'windspeed': 7.2, 'visibility': 20.0}",48.176343,17.145727
