,date,start_time,end_time,duration,vehicle,weather
0,23.10.2022,2022-10-23 14:32:07.800,2022-10-23 14:32:29.300,0,7427,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.8, 'humidity': 99.73, 'windspeed': 7.7, 'visibility': 4.9}"
1,20.10.2022,2022-10-20 06:52:40.400,2022-10-20 06:52:45.000,0,7528,"{'conditions': 'Clear', 'temp': 6.4, 'precip': 0.0, 'dew': 2.3, 'humidity': 75.25, 'windspeed': 3.8, 'visibility': 39.5}"
2,05.10.2022,2022-10-05 14:20:46.100,2022-10-05 14:21:03.000,0,7401,"{'conditions': 'Partially cloudy', 'temp': 17.7, 'precip': 0.0, 'dew': 9.7, 'humidity': 59.19, 'windspeed': 11.1, 'visibility': 45.2}"
3,18.10.2022,2022-10-18 21:11:13.100,2022-10-18 21:11:46.300,0,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}"
4,18.10.2022,2022-10-18 21:12:24.200,2022-10-18 21:13:02.500,0,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}"
5,18.10.2022,2022-10-18 21:24:16.000,2022-10-18 21:24:24.700,0,7516,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 9.9, 'humidity': 68.36, 'windspeed': 3.6, 'visibility': 37.7}"
6,28.10.2022,2022-10-28 10:37:24.000,2022-10-28 10:37:32.400,0,7409,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.9, 'humidity': 99.97, 'windspeed': 10.7, 'visibility': 0.1}"
7,10.10.2022,2022-10-10 18:43:42.200,2022-10-10 18:44:02.000,0,7528,"{'conditions': 'Partially cloudy', 'temp': 14.5, 'precip': 0.0, 'dew': 5.8, 'humidity': 55.69, 'windspeed': 7.5, 'visibility': 38.0}"
8,18.10.2022,2022-10-18 22:25:24.600,2022-10-18 22:25:36.300,0,7416,"{'conditions': 'Partially cloudy', 'temp': 15.7, 'precip': 0.0, 'dew': 10.6, 'humidity': 71.98, 'windspeed': 3.6, 'visibility': 33.0}"
9,28.10.2022,2022-10-28 11:07:29.000,2022-10-28 11:07:45.900,0,7424,"{'conditions': 'Overcast', 'temp': 10.9, 'precip': 0.0, 'dew': 10.9, 'humidity': 99.97, 'windspeed': 10.7, 'visibility': 0.1}"
10,11.10.2022,2022-10-11 18:53:05.600,2022-10-11 18:53:24.000,0,7508,"{'conditions': 'Partially cloudy', 'temp': 15.2, 'precip': 0.0, 'dew': 9.7, 'humidity': 69.74, 'windspeed': 10.5, 'visibility': 33.8}"
11,24.10.2022,2022-10-24 11:30:54.300,2022-10-24 11:31:04.100,0,7516,"{'conditions': 'Partially cloudy', 'temp': 14.7, 'precip': 0.0, 'dew': 14.6, 'humidity': 99.36, 'windspeed': 7.0, 'visibility': 1.3}"
12,21.10.2022,2022-10-21 12:03:09.800,2022-10-21 12:03:14.000,0,7506,"{'conditions': 'Partially cloudy', 'temp': 9.2, 'precip': 0.0, 'dew': 2.4, 'humidity': 62.56, 'windspeed': 15.1, 'visibility': 54.2}"
13,07.10.2022,2022-10-07 10:51:07.000,2022-10-07 10:51:27.000,0,7421,"{'conditions': 'Clear', 'temp': 16.1, 'precip': 0.0, 'dew': 11.9, 'humidity': 76.45, 'windspeed': 11.1, 'visibility': 15.0}"
14,03.10.2022,2022-10-03 09:34:01.100,2022-10-03 09:34:07.000,0,7409,"{'conditions': 'Partially cloudy', 'temp': 12.6, 'precip': 0.0, 'dew': 7.6, 'humidity': 71.29, 'windspeed': 14.6, 'visibility': 45.2}"
15,19.10.2022,2022-10-19 17:03:25.100,2022-10-19 17:03:42.000,0,7422,"{'conditions': 'Partially cloudy', 'temp': 14.7, 'precip': 0.0, 'dew': 6.7, 'humidity': 58.59, 'windspeed': 11.7, 'visibility': 38.4}"
16,20.10.2022,2022-10-20 08:14:55.400,2022-10-20 08:15:13.000,0,7510,"{'conditions': 'Clear', 'temp': 6.5, 'precip': 0.0, 'dew': 2.3, 'humidity': 74.19, 'windspeed': 3.6, 'visibility': 53.5}"
17,11.10.2022,2022-10-11 10:38:55.700,2022-10-11 10:39:07.300,0,7421,"{'conditions': 'Partially cloudy', 'temp': 15.8, 'precip': 0.0, 'dew': 7.7, 'humidity': 58.55, 'windspeed': 3.6, 'visibility': 49.2}"
18,27.10.2022,2022-10-27 15:04:49.900,2022-10-27 15:05:03.000,0,7514,"{'conditions': 'Overcast', 'temp': 12.4, 'precip': 0.0, 'dew': 12.3, 'humidity': 99.59, 'windspeed': 3.6, 'visibility': 0.2}"
